,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,tot cases/1m_pop,deaths/1m_pop,total_tests,tests/_1m_pop,lat,long
95,Latvia,930,2,18,0,464,448,2,493.0,10,75571,40065,56.879635,24.603189
96,Guatemala,900,68,24,1,101,775,5,50.0,1,7200,402,15.783470999999999,-90.230759
97,Cyprus,892,1,15,0,401,476,10,739.0,12,74746,61909,35.126413,33.429859
98,Albania,856,6,31,0,627,198,7,297.0,11,10268,3568,41.153332,20.168331
99,Sri Lanka,847,12,9,0,260,578,1,40.0,0,33899,1583,7.873054,80.771797
100,Niger,815,20,45,1,617,153,0,34.0,2,5515,228,17.607789,8.081666
101,Lebanon,809,13,26,0,234,549,4,119.0,4,49990,7324,33.854721000000005,35.862285
102,Maldives,785,41,3,0,29,753,2,1452.0,6,11775,21784,3.202778,73.22068
103,El Salvador,784,42,17,1,276,491,4,121.0,3,39079,6025,13.794185,-88.89653
104,Costa Rica,780,7,6,0,480,294,6,153.0,1,16517,3242,9.748917,-83.753428
105,Andorra,754,2,48,1,545,161,14,9759.0,621,1673,21653,42.546245,1.601554
106,Burkina Faso,748,4,48,0,569,131,0,36.0,2,0,0,12.238333,-1.561593
107,Diamond Princess,712,0,13,0,645,54,4,0.0,0,0,0,35.414583,139.682033
108,Uruguay,694,0,18,0,506,170,7,200.0,5,26838,7726,-32.522779,-55.765835
109,Mali,692,24,37,2,298,357,0,34.0,2,2172,107,17.570692,-3.996166
110,Paraguay,689,126,10,0,155,524,9,97.0,1,13846,1941,-23.442503,-58.443832
111,Kenya,649,28,30,1,207,412,1,12.0,0,31041,577,-0.023559,37.906193
112,Guinea-Bissau,641,47,3,1,25,613,0,326.0,2,1500,762,11.803749,-15.180413
113,San Marino,637,14,41,0,126,470,3,18773.0,1208,2956,87118,43.94236,12.457777
114,Georgia,626,3,10,0,297,319,6,157.0,3,27846,6980,42.315407,43.356892
115,Gabon,620,0,8,0,110,502,1,279.0,4,724,325,-0.803689,11.609444
116,Tajikistan,612,90,20,8,0,592,0,64.0,2,0,0,38.861034000000004,71.276093
117,Channel Islands,545,0,41,0,447,57,0,3135.0,236,5342,30725,49.372284,-2.364351
118,Jordan,522,14,9,0,387,126,5,51.0,0,111285,10907,30.585164000000002,36.238414
119,Tanzania,509,0,21,0,183,305,7,9.0,0,0,0,-6.369028,34.888822
120,Jamaica,490,2,9,0,62,419,0,165.0,3,6633,2240,18.109581,-77.297508
121,Malta,490,1,5,0,427,58,0,1110.0,11,40493,91708,35.937496,14.375416
122,Taiwan,440,0,6,0,361,73,0,18.0,0,66861,2807,23.69781,120.960515
123,Equatorial Guinea,439,0,4,0,13,422,0,313.0,3,854,609,1.6508009999999997,10.267895
124,Réunion,431,5,0,0,354,77,5,481.0,0,17200,19211,,
125,Venezuela,388,0,10,0,190,188,1,14.0,0,507119,17834,6.42375,-66.58973
126,Palestine,375,0,2,0,228,145,0,74.0,0,34511,6765,31.9522,35.2332
127,Mauritius,332,0,10,0,320,2,3,261.0,8,69773,54863,-20.348404000000002,57.552152
128,Isle of Man,329,0,23,0,271,35,19,3869.0,270,3625,42631,54.236107,-4.548056
129,Montenegro,324,0,8,0,274,42,2,516.0,13,7816,12445,42.708678000000006,19.37439
130,Chad,322,62,31,3,53,238,0,20.0,2,0,0,15.454166,18.732207
131,Sierra Leone,291,34,18,1,58,215,0,36.0,2,0,0,8.460555000000001,-11.779889
132,Vietnam,288,0,0,0,241,47,8,3.0,0,261004,2681,14.058323999999999,108.277199
133,Benin,284,42,2,0,62,220,0,23.0,0,19474,1606,9.30769,2.315834
134,Congo,274,0,10,0,33,231,0,50.0,2,0,0,4.0383,21.7587
